Timestamp,Rainfall (mm),station_number,station_name,station_no,latitude,longitude,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
01-Jun-18,168,133088,Glen Strae,133088,56.42522107,-5.000795867,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,110.4,368490,Glenbreck,368490,55.48202196,-3.477754728,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,93.4,327238,Glenmavis,327238,55.89359141,-4.013210328,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,37.2,115225,Glenmore Lodge No 2,115225,57.16421784,-3.677609728,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,87.2,367371,Glenmuick No2,367371,56.95161175,-3.141253355,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,47.4,14891,Glenochil,14891,56.14364525,-3.839304837,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,84.4,464636,Glenquey,464636,56.20739317,-3.642080305,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,54.6,15196,Gogarbank,15196,55.92834002,-3.342742573,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,107.2,14984,Gordon Arms,14984,55.51137227,-3.096406906,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,66.6,327292,Greenock,327292,55.94370132,-4.723991358,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,38.2,15226,Haddington STW,15226,55.96050923,-2.75022457,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,11.6,234231,Halkirk,234231,58.5154974,-3.493004244,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,57.8,335614,Harelaw,335614,55.91651494,-3.086776845,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,78.8,15200,Harperrig,15200,55.83652095,-3.435270947,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,28.6,335640,Hatton (Perth),335640,56.52513594,-2.648539891,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,25.4,115227,Hatton No 2,115227,57.42757524,-1.909678484,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,54,115582,Hazelwood Cottage,115582,56.26715284,-5.494662553,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,103,15166,High Corrie (Gartmore),15166,56.1262023,-4.446294544,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,41,469625,Hunterston Terminal,469625,55.74447583,-4.86116797,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,108.8,115584,Hydro Gardens Moffat,115584,55.34214596,-3.452988353,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,87.8,115354,Inchvuilt,115354,57.40830735,-4.957620811,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,41.2,115585,Ingleston Farm,115585,54.81170556,-4.166358356,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,19.4,336367,Inshes,336367,57.45203372,-4.184715941,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,45.2,115356,Inverewe Garden,115356,57.77399694,-5.596995718,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,55.2,115230,Inverey,115230,56.98569953,-3.500915775,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,48.4,14926,Invermark,14926,56.91121364,-2.914811966,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,176.2,115588,Inveruglas,115588,56.2473573,-4.71287133,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,24.6,367365,Inverurie,367365,57.2583172,-2.362253256,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,45.4,115589,Irvine Gailes,115589,55.58754361,-4.663320263,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,57.8,15006,Jedburgh,15006,55.48529122,-2.54668704,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,26.6,367360,Keith,367360,57.55084994,-2.952079018,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,74.4,341380,Killermont Raingauge,341380,55.91108458,-4.305014408,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,87.4,234252,Killilan,234252,57.31881832,-5.424835603,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,87.6,14933,Killin,14933,56.45816211,-4.331876561,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,29.2,234253,Kilphedir,234253,58.14138911,-3.702814019,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,70,14890,Kinbuck,14890,56.2255551,-3.949530685,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,69.4,14955,Kindrogan,14955,56.74926972,-3.544931301,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,41.6,473550,Kinghorn Ecology Centre Rain Gauge,473550,56.07462319,-3.193432968,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,91.6,14972,Kingledores,14972,55.54240926,-3.413947163,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
